subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
23,3,1,1,3,4,2,1,1,2,1,2.5,1,3,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1
24,1,1,1,2,2,2,1,1,1,1,2.5,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
25,2,1,1,2,2,2,1,1,2,1,2.5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,2,1,2,3,0.5,1,1,1,3,1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
27,3,3,1,3,0.5,2,1,2,2,2,3.5,2,2,2,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1
29,2,3,1,2,3.5,3,2,2,3,2,3,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
30,2,2,1,4,3,2,1,1,1,1,2.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
31,3,2,1,2,2,2,1,1,3,3, ,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
32,2,2,1,2,2,2,1,1,3,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
38,2,1,1,2,5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,3,2,1,1,0.5,2,1,1,1,2,3.5,2,2,1,1,2,2,1,1,2,2,1,3,1,1,1,1,2,1,1,1
40,3,3,1,1,0.5,2,1,1,2,2,3.5,2,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
41,3,3,1,4,5,2,1,2,3,1,2.5,2,3,1,2,1,2,3,1,2,1,1,1,1,1,2,1,2,1,1,1
42,4,2,1,3,4.5,3,2,2,2,4,5,2,1,3,1,4,2,3,1,1,1,1,1,3,1,1,2,1,3,1,1
43,2,2,1,3,2,2,1,1,1,2,4.5,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1
45,2,2,1,4,4.5,3,1,2,3,4,5,1,2,2,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1
47,2,2,1,2,3,2,1,1,2,2,4, ,2,1,1,1,1,1,1,2, ,1,1,1,1,1,1,1,1,1,1
49,2,2,2,2,0.5,2,2,1,1,1,2.5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
52,2,2,1,2,2,3,1,1,1,3,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,2,3,2,4,2,3,2,2,2,2,4.5,2,3,2,2,1,3, ,1,2,2,1,2,1,1,1,1,1,1,2,1
54,2,2,1,2,3,2,1,1,1,2,3.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,3,3,2,3,4.5,3,2,2,3,3,4,2,3,3,1,1,1,1,1,4,2,2,3,1,1,3,1,1,1,1,1
56,2,2,1,2,0.5,2,1,2,1,1,2.5,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,2,2,1,2,2,2,1,1,2,1,2.5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
60,2,2,1,3,3.5,3,1,1,1,2,3,2,3,1,1,1,1,1,1,2,1,2,1,3,1,1,3,1,1,1,1
61,2,2,1,3,3,2,2,1,3,1,2.5,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1
62,2,2,1,4,5,2,2,2,3,2,5,2,3,1,2,2,2,1,2,3,3,2,3,1,1,3,1,1,1,1,1
64,2,2,1,2,0.5,3,1,1,1,2,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,2,2,1,2,2,2,1,1,3,2,3.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
69,2,2,1,3,2,2,1,1,2,2,3,1,2,2,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
70,1,2,1,3,4,2,1,2,2,1,2.5,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74,2,2,1,3,4,2,1,2,2,1,2.5,1,2,1,1,2,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1
75,2,2,1,3,4,2,1,1,2,1,2.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
76,4,2,1,2,4,2,1,1,1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1
77,3,2,1,1,0.5,4,1,1,1,2,4.5,2,3,3,2,1,2,4,2,3,1,1,3,1,1,2,1,1,2,1,2
78,2,2,1,2,2,2,1,1,1,2,3,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2,2,1,2,4,2,1,1,2,2,3.5,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
85,3,2,2,3,2,2,2,2,1,2,4,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
86,2,2,1,3,3,2,1,1,3,1,2.5,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1
87,4,3,2,4,3.5,3,2,2,3,4,5,2,3,1,1,3,2,1,1,3,3,2,1,1,1,1,2,2,2,1,1
90,2,2,1,2,0.5,2,1,2,1,1,2.5,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,2,1,1,2,4,1,1,1,2,1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
98,2,1,1,2,0.5,2,1,2,1,1,2.5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,2,2,1,3,4.5,3,1,2,1,1,2.5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
100,2,2,1,2,4,2,1,1,2,1,2.5,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
101,3,3,1,2,5,3,1,2,1,2,4.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,2,1,1,0.5,2,1,1,2,1,2.5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,2,2,1,2,3,2,1,1,3,1,2.5,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1
105,2,2,1,2,3,2,1,1,1,1,2.5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,3,2,1,2,4,2,1,1, ,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
107,2,2,1,3,0.5,2,1,1, ,2,3,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
108,2,2,1,3,4.5,2,1,1,1,1,2.5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
109,1,1,1,2,4.5,1,1,1,2,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,2,1,1,2,3,1,1,1,1,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,2,2,1,2,3,2,1,1,2,2,3.5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
113,2,2,1,3,3.5,2,1,1,3,2,5,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1
114,3,2,1,2,3,3,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,2,2,1,2,4.5,2,1,1,1,1,2.5,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1
117,2,2,1,2,2,2,1,1,2,1,2.5,1,3,2,1,3,2,3,1, , ,1,1,1,1,1,1,1,1,1,1
118,2,2,2,3,2,2,1,2,3,1,2.5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
120,3,2,1,3,4.5,2,2,1,1,1,2.5,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,4,2,1,2,1.5,3,1,2,3,2,4.5,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
122,2,2,1,2,3,2,1,1,1,1,2.5,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
125,2,2,1,2,3.5,2,1,1,2,1,2.5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
126,3,3,1,3,5,1,1,2,3,4,4.5,2,3,2,3,1,1,3,1,3,1,2,1,3,1,2,1,1,1,1,1
127,3,2,1,3,4.5,2,2,2,3,3,4.5,2,3,1,1,2,1,1,1,3,2,1,2,4,1,1,1,1,1,1,1
128,2,2,2,2,3,2,1,1,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,2,2,1,3,4,2,1,2,2,2,3.5,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
132,2,1,1,2,3.5,2,1,2,3,1,2.5,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
133,3,3,2,4,5,4,2,1,3,3,5,2,3,3,2,3,3,1,1,4,1,2,3,1,1,1,2,1,1,1,1
134,2,1,1,2,0.5,1,1,1,1,1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1
136,2,2,1,3,3,4,1,2,1,1,2.5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
138,2,2,1,3,3.5,2,1,1,3,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,4,3,2,3,3.5,2,2,2,3,3,4.5,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
143,2,1,1,3,0.5,2,1,1,3,1,2.5,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1
144,3,3,2,3,2,2,1,1,2,2,3.5,1,3,1,2,4,1,3,1,2,1,1,1,4,1,1,1,2,1,1,1
145,2,2,1,4,5,2,2,2,3,4,4.5,2,3,2,1,4,1,3,1,4,3,1,1,3,2,2,1,1,1,1,2
146,2,2,1,3,3.5,2,1,1,2,2,4.5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
147,2,1,2,2,3,1,1,1,3,1,2.5,1,1,2,1,4,1,1,1, , ,1,1,3,1,1,1,1,1,1,1
149,2,2,1,4,2,2,2,2,1,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
151,2,3,1,3,5,2,2,2,3,3,5,2,3,1,1,4,1,1,1,3,1,1,2,1,1,1,1,2,2,1,1
152,3,2,1,3,1.5,3,1,1,2,1,2.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,3,2,1,3,2,3,1,2,3,2,3.5,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
154,2,2,1,2,4,2,1,1,1,1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1
155,3,2,1,3,3,2,1,1,1,2,3.5,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
156,2,2,2,4,5,2,2,2,3,4,5,2,2,1,1,4,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1
157,3,3,2,2,4,3,1,1,3,2,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
160,3,2,1,2,3.5,3,1,1,3,1,2.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,2,3,1,3,1.5,2,1,1,3,2, ,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
163,2,2,1,2,3,2,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,2,2,1,2,2,2,1,1,3,2,3.5,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
165,3,2,2,3,3,2,1,1,3,1,2.5,1,1,1,1,1,1,1,1,2,2,1,2,4,3,1,1,2,1,1,1
167,2,2,1,2,0.5,2,1,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
168,2,2,1,2,2,2,1,1,1,1,2.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,4,3,1,4,1.5,3,1,1,3,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,2,1,1,2,3.5,2,1,2,1,2,4.5,2,2,1,1,3,1,1,1,1,1,1,1,4,3,1,1,2,1,1,1
174,3,3,1,3,3,3,1,1,3,1,2.5,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,2,2,1,3,1.5,2,1,1,3,1,2.5,2,1,1,1,1,1,1,1,2, ,1,1,1,1,1,1,1,1,1,1
176,2,2,1,3,4,2,1,2,3,1,2.5,1,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1
177,2,2,1,3,2,2,1,1,1,2,4.5,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
178,3,3,1,3,2,3,2,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,3,2,1,3,4,3,2,2,3,3,5,2,3,1,1,1,3,2,1,2,1,1,1,3,1,2,1,1,1,1,1
180,2,2,1,3,3.5,3,1,2,3,1,2.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,3,3,1,4,4.5,2,1,1,3,1,2.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
182,4,3,1,3,4.5,2,1,1,3,1,2.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,2,2,1,2,1.5,2,1,1,3,1,2.5,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
185,2,2,1,2,0.5,2,1,1,3,2,4.5,1,3,2,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1
187,4,3,2,3,2,3,1,2,2,2,3.5,1,2,1,1,2,1,2,1,2,1,1,2,4,1,1,1,1,2,1,1
188,2,2,1,2,1.5,2,1,1,1,1,2.5,1,3,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
189,3,3,1,3,2,4,2,2,1,1,2.5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
190,3,3,1,2,2,2,1,1,1,2,4.5,1,3,2,1,3,1,1,1,3,1,2,1,3,1,1,1,1,2,2,2
191,2,2,1,3,2,2,1,1,2,1,2.5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
192,3,3,2,3,0.5,2,1,1,3,2, ,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
193,2,2,1,1,0.5,3,1,1,1,1,2.5,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
195,3,3,1,2,4,3,1,1,1,1,2.5,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
196,2,2,1,4,2,2,1,1,1,2,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
197,2,2,1,3,2,2,1,1,3,1,2.5,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1
198,1, ,1,4,4,2,2,2,3,3,3.5,2,2,1,3,4,2,4,1,3,3,1,3,1,1,1,1,1,1,1,1
199,3,3,1,2,2,2,1,1,3,1,2.5,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
200,4,3,1,4,3.5,2,1,1,3,1,2.5,1,2,3,2,3,2,4,2,3,1,2,1,1,1,3,3,1,2,1,1
201,2,3,1,2,3,2,1,1,1,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
202,2,2,1,2,1.5,2,1,1,3,2,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
203,2,2,1,1,0.5,2,1,1,1,1,2.5,1,1,1,1,4,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1
205,2,2,1,4,5,3,2,2,3,1,2.5,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
206,2,2,1,3,4,2,2,2,3,2,4,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
208,2,1,1,2,0.5,3,1,1,2,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,2,2,1,2,3,3,1,1,2,1,2.5,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
210,2,1,1,3,2,3,1,2,2,3,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
212,2,2,1,3,3,3,1,1,3,1,2.5,2,2,1,1,1,1,1,1,2,3,1,1,3,1,1,1,2,2,1,1
213,2,2,1,3,4.5,3,1,2,1,2,3.5,2,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
214,2,2,1,3,1.5,2,1,1,2,2,3.5,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1
215,3,3,1,2,2,2,1,1,1,2,4,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
216,3,3,1,2,0.5,2,1,1,2,1,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,2,2,1,4,5,4,2,2,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
218,2,2,1,2,2,2,1,1,2,2, ,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
219,3,3,1,3,2,2,1,1,3,1,2.5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
